Name,Devanagari Script,Meaning
Kalā,कला / Kalikā,One-sixteenth of the moon’s diameter
Kalinī,कलिनी,"Pulse, pea-plant"
Kalpanā,कल्पना,"creating in the mind, feigning, assuming anything to be real, fiction,"
Kalmāṣī,कल्माषी,"name of the speckled cow of Jamadagni granting all desires, Name of the river Yamunā"
Kalyāṇī,कल्याणी,"beautiful, agreeable, illustrious, noble, generous, excellent, virtuous, good; a cow"
Kavitā,कविता,"poetry, ornate style"
Kavyatā,कव्यता,Wisdom (seen in Ṛgveda)
Kāṅkṣā,काङ्क्षा,"wish, desire, inclination"
Kāṅkṣī,काङ्क्षी,a kind of fragrant earth
Kāñcanī,काञ्चनी,made of / consisting of gold
Kātyāyanī,कात्यायनी,"The sixth (of nine) form of Durga, name of one of the two wives of Yajñavalkya"
Kāthikī,काथिकी,knowing stories belonging to stories
Kādambinī,कादम्बिनी,"a long line or bank of clouds, name of a daughter of Takshaka, Virac"
Kādambarī,कादम्बरी,the female of the Kokilā or Indian cuckoo; daughter of Citraratha and Madirā ; of a celebrated story by Bāṇa named after her.
Kānaḍā,कानडा,a particular Rāgiṇī
Kāpī,कापी,name of a river
Kāminī,कामिनी,"desirous, longing after; loving, fond, impassioned; name of a metre consisting of four lines of six syllables each."
Kāmyā,काम्या,"desirable, beautiful, amiable, lovely, agreeable"
Kārotī,कारोती,name of a river
Kārttikī,कार्त्तिकी,the night of full moon in the month Kārttika
Kārpaṇī,कार्पणी,gladness
Kālindī,कालिन्दी,"name of a wife of Kṛṣṇa, name of the wife of Asita and the mother of Sāgara"
Kāśī,काशी,"Benaras, name of the wife of Sudeva and the mother of Supārśva"
Kujā,कुजा,"daughter of the earth, Sītā"
Kuṇdalikā,कुण्डलिका,name of a metre in Prakṛit poetry; a circle
Kuntī,कुन्ती,"name of Pṛthā, wife of King Paṇḍu"
Kundinī,कुन्दिनी,assemblage of jasmines
Kuvīrā,कुवीरा,name of a river
Kuvalī,कुवली,"water-lily (specially the blue variety, the flower of which blooms at night)"
Kuhā,कुहा,name of Durgā
Kṛti,कृति,"the act of doing, making, performing, manufacturing, composing"
Kṛtvī,कृत्वी,name of the daughter of Śuka
Kṛttikā,कृत्तिका,name of a constellation
Kṛpā,कृपा,"tenderness, compassion"
Ketakī,केतकी,the kewra flower (screw-pine)
Jakuṭa,जकुट,"the flower of the eggplant, the Malaya mountains"
Jagat,जगत्,the world
Jagatpati,जगत्पति,the lord of the world
Jagadādija,जगदादिज,name of Śiva
Jagadīśa,जगदीश / Jagadīśvara,"he lord of the world, Brahmā, Viṣṇu, Śiva"
Jagannātha,जगन्नाथ,"world-lord, Viṣṇu or Kṛṣṇa"
Janamejaya,जनमेजय,"causing men to tremble, name of the celebrated king to whom Vaiśampāyana narrated the Mahābhārata (great grandson of Arjuna)"
Janayiṣṇu,जनयिष्णु,a progenitor
Jambhala,जम्भल,"name of a spirit, god of wealth (Buddhist tradition)"
Jamadagni,जमदग्नि,"name of a Ṛṣi, descendent of Bhṛgu, father of Parśurāma"
Jaya,जय,"conquering, winning, conquest, victory, triumph, winning; a kind of flute (in music)"
Jayagupta,जयगुप्त name of a poet,
Jayaskandha,जयस्कन्ध,name of the minister of Yudhiṣṭhira
Jayendra,जयेन्द्र,a king from Kashmir
Jayanta,जयन्त,victorious
Jayiṣṇu,जयिष्णु,victorious
Jitākṣara,जिताक्षर,"one who has mastered his letters, ‘writing well’"
Jitamitra,जितमित्र,"one who has conquered his enemies, triumphant, Viṣṇu"
Jitendra,जितेन्द्र,the one who has conquered his senses
Jijñāsu,जिज्ञासु,desirous of knowing
Jituma,जितुम,the sign Gemini
Jina,जिन,"victorious (an Arhat, the chief saint of the Jainas)"
Jinavallabha,जिनवल्लभ,name of a famous Jaina author
Jinadhāra,जिनधार,name of Bodhisattva
Jinendra,जिनेन्द्र,"a Jaina saint, name of a grammarian"
Jineśa,जिनेश,an Arhat
Jiṣṇu,जिष्णु,"victorious, triumphant, winning"
Jīmuta,जीमूत,"a cloud, nourisher, sustainer"
Jīva,जीव,"the principle of life, vital breath"
Jīviteśa,जीवितेश,"Yama, the sun"
Jaṇkarī,जङ्करी,a kind of dance
Jagatī,जगती,name of a metre
Jagadambā,जगदम्बा,"the mother of the world, name of Durgā"
Jagadātrī,जगदात्री,Sarasvatī
Janī,जनी,kind of a fragrant plant
Jantulā,जान्तुला,wild sugarcane
Jambhalikā,जम्भलिका,a kind of a song
Jayadurgā,जयदुर्गा,form of Durgā
Jayalekhā,जयलेखा,a record of victory
Jayaśrī,जयश्री,goddess of victory
Jāgṛti,जागृति,"awareness, awakening, vigilance"
Jānakī,जानकी,"daughter of Janaka, name of Sītā"
Jāhnavī,जाह्नवी,the Gaṇgā
Jigīṣā,जिगीषा,desire if conquering or being victorious
Jigiṣitā,जिगिषिता,wished to be obtained
Jitā,जिता,"won, acquired, conquered"
Jiti,जिति,"gaining, obtaining, victory"
Jitvarī,जित्वरी,"overcoming, the city of Benaras"
Jigīṣā,जिगीषा,the will to live
Jighṛkṣā,जिघृक्षा,wish or intention to take or seize
Jijīviṣā,जिजीविषा,desire to live
Jijñāsā,जिज्ञासा,desire of knowing
Jihirṣā,जिहिर्षा,desire of seizing
Jīvā,जीवा,"living, existing, alive, healthy"
Jīvadā,जीवदा,"life-giver, a physician"
Jīvikā,जीविका,to make a livelihood
Jīvitāśā,जीविताशा,"hope of life, wish for life"
Jivyā,जिव्या,life
Jūtikā,जूतिका,a kind of camphor
Joṣikā,जोषिका,a cluster of buds
Gaganagañja,गगनगञ्ज,name of Bodhisattva
Gaṅgādhara,गङ्गाधर,"receiver of Gaṅgā - the ocean, name of Śiva"
Gajarāja,गजराज,king of elephants
Gañja,गञ्ज,"a treasury, a jewel room"
Gada,गद,"name of son of Vasudeva and the younger brother of Kṛṣṇa, name of a musical instrument, name of a constellation"
Gadāmbara,गदाम्बर,a cloud
Gandhāra,गन्धार,"the third note in music, name of a Rāga"
Garut,गरुत्,wing of a bird
Garga,गर्ग,name of a sage - descendent of Bhāradwāja and Aṅgiras
Garga,गर्गर,a kind of a musical instrument
Gahana,गहन,"deep, dense, inexplicable"
Gāṇḍiva,गाण्डीव,name of the bow of Arjuna
Girika,गिरिक,name of Śiva
Girisha,गिरिश,name of Śiva
Guñja,गुञ्ज,"bunch, bundle or cluster of blossoms"
Guṇāḍhya,गुणाढय,name of the famous author of Bṛhatkathā
Guṇādhipa,गुणाधिप,"king of virtues, name of a king"
Guṇeśvara,गुणेश्वर,"lord of virtues, name of the mountain Citrakūṭa"
Gupila,गुपिल,"a protector, a king"
Guru,गुरु,"great, large, valuable, important, venerable, respectable, a spiritual parent or preceptor"
Gaurāṅga,गौराङ्ग,having a white/yellowish body
Gaurava,गौरव,"glory, dignity, respect"
Gautama,गौतम,"remover of darkness, Droṇa, the historical Buddha"
Gaurīnātha,गौरीनाथ,name of Śiva
Grāmika,ग्रामिक,"rustic (in music), chromatic"
Gaganasindhu,गगनसिन्धु,the heavenly Gaṅgā
Gaṅgakā,गङ्गका,the river Gaṅgā
Gaṅgā,गङ्गा,"swift-goer, personified as the eldest daughter of Himavat and Menā, wife of Śantanu and the mother of Bhiśma"
Gaṇḍinī,गण्डिनी,name of Durgā
Gaṇḍakī,गण्डकी,a north river flowing into Gaṅgā
Gadi,गदि,speech
Gandhakālikā,गन्धकालिका,name of an Apsarā
Gandhakālī,गन्धकाली,name of the mother of poet Vyāsa
Gandharvā,गन्धर्वा,name of Durgā
Gandhālī,गन्धाली,fragrant
Gambhīrā,गम्भीरा,"name of a river, depth"
Garmotikā,गर्मोतिका,a kind of a special grass
Gahanā,गहना,ornament
Gāthā,गाथा,epic songs and particularly those in praise of men and heroes
Gāyatrī,गायत्री,name of a metre
Gāndinī,गान्दिनी,"name of the princess of Kāśī, mother of Akrura (seen in Harīvaṃśa)"
Gārgī,गार्गी,name of a learned woman
Girā,गिरा,"speech, voice"
Gītā,गीता,"a song, sacred song or poem, religious doctrines declared in metrical form by an inspired sage e.g Agastya-Gītā, Bhagavadgītā [often called Gītā]"
Gītikā,गीतिका,a short poem
Guñjā,गुञ्जा / Guñjitā,"humming, buzzing, murmuring"
Guḍikā,गुडिका,"a pearl, cocoon of a silkworm,"
Gṛiṣṭhi,गृष्ठि,a young cow which has only one calf
Gaurī,गौरी,"white, yellowish, reddish, pale red, brilliant Goddess, Śiva's wife Pārvatī"
Gaulā,गौला,Śiva's wife Pārvatī
Raṃsu,रंसु,"cheerful, delightful"
Rakṣa,रक्ष,guarding
Rakṣita,रक्षित,"guarded, protected"
Raghu,रघु,"hastening, going speedily, racing rapidly, name of the ancestor of Rāma"
Racita,रचित,"performed, arranged"
Rajaṣṭha,रजष्ठ,"straight, most perfect"
Rajas,रजस,"silver, made of silver"
Rajata,रजत,"whitish, silver colored"
Rajasānu,रजसानु,a cloud
Rañjaka,रञ्जक,"exciting passion/ love, charming, pleasing"
Rajanīsha,रजनीश,"god of night, moon"
Raṇa,रण,"delight. pleasure, gladness, joy (in Ṛgveda)"
Raṇvita,रण्वित,joyous
Ratnākara,रत्नाकर,"the sea, ocean"
Ratnendra,रत्नेन्द्र,precious
Rabhiṣṭha,रभिष्ठ,"most violent, strong"
Ripsu,रिप्सु,wishing to seize
Ramaṇa,रमण,"pleasing, charming"
Ramra,रम्र,name of the charioteer of the sun
Rallaka,रल्लक,species of a stag/deer
Ravi,रवि,"a particular form of sun, an orange"
Raviṣṭha,रविष्ठ,loved by sun
Ravīṣu,रवीषु,god of love i.e Kāmadeva
Rasāla,रसाल,the mango tree
Rasika,रसिक,"tasteful, elegant"
Rākeśa,राकेश,the lord of night
Rāghava,राघव,a descendent of Raghu
Rāja,राज,"a sovereign, a king"
Rājaka,राजक,"illuminating, splendid"
Rājan,राजन्,"a king, sovereign, prince, chief"
Rājita,राजित,"illuminated, resplendent, brilliant, adorned"
Rādhaka,राधक,"liberal, bountiful"
Rādheya,राधेय,name of Karṇa
Rāma,राम,"pleasing, charming, lovely, an Avatāra of Viṣṇu"
Ridhama,रिधम,spring
Rīra,रीर,name of Śiva
Rucika,रुचिक,a kind of ornament
Rucya,रुच्य,"bright, brilliant, splendid, beautiful"
Rudra,रुद्र,related to Śiva
Roca,रोच,"shining, radiant, name of a Rāga in music"
Rocaka,रोचक,"brightening, enlightenment"
Rocana,रोचन,"bright, shing, radiant"
Ropaṇaka,रोपणक,kind of bird
Rohita,रोहित,name of the sun
Rohiśa,रोहिश,a kind of deer
Raṃhatī,रंहती,"speed, velocity"
Raṃhī,रंही,"running, flowing, hastening"
Rakṣā,रक्षा,"protection, duty"
Racanā,रचना,"arrangement, management"
Raktā,रक्ता,"coloured, dyed"
Raṅgitā,रङ्गीता,"beautiful, pretty"
Rajanī,रजनी,night
Rajayitrī,रजयित्री,a female painter
Rañjā,रञ्जा,a kind of drum
Rañjanī,रञ्जनी,"pleasing, charming"
Rañjitā,रञ्जिता,"illuminated, affected, charmed, delighted"
Ratū,रतू,"the river of heaven, celestial Gaṅgā, true speech"
Ratnādevī,रत्नादेवी,name of a princess
Ratnojjvalā,रत्नोज्ज्वला,shining with pearls
Rabhasā,रभसा,"strong, powerful"
Rambhā,रम्भा,"a celebrated Apsaras, wife of Nala-Kubera"
Ramā,रमा,"to delight, make happy, name of Lakṣmi, goddess of fortune"
Ratandhrī,रतन्ध्री,"mist, fog"
Ratī,रती,"pleasure, enjoyment, delight"
Ratikā,रतिका,a kind of Śruti in music
Ramaṇī,रमणी,"a beautiful, young woman"
Ramayantikā,रमयन्तिका,a dancing girl
Ralā,रला,a species of bird
Raśanā,रशना,"a ray of light, a girdle"
Rākhāḍī,राखाडी,a particular kind of ornament
Rāgiṇī,रागिणी,a melody
Rādhikā,राधिका/Rādhā,"lover of Kṛṣṇa, prosperous"
Rājanī,राजनी,made of silver
Rājikā,राजिका,"a streak, line, row"
Rājñī,राज्ञी,"kindly, princely, royal queen"
Rāddhī,राद्धी,"accomplishment, perfection, completion"
Rāvī,रावी,"name of a river, person of brilliant character"
Riṭi,रिटि,a musical instrument
Rīti,रीति,"usage, custom, practice, method"
Rītikā,रीतिका,brass
Rukmiṇī,रुक्मिणी,"species of plant, secret lover of Kṛṣṇa (later wife)"
Ruci,रुचि,"light, lustre, splendour"
Rucitā,रुचिता,"bright, brilliant, glittering"
Rucirā,रुचिरा,"bright, brilliant, splendid, beautiful"
Rubhetī,रुभेती,"fog, vapour"
Ruhā,रुहा,ascended
Ruharuhikā,रुहरुहिका,desire
Rekhā,रेखा,"a streak, line"
Reṭi,रेटी,sound of fire
Reṇukā,रेणुका,"a particular medicinal substance, wife of Jamadagni and mother of Parśurāma"
Revā,रेवा,"indigo plant, name of Rati, wife of Kāmadeva"
Saṃkalpa,सङ्कल्प,decided with determination
Saṃyat,संयत,"coherent, uninterrupted"
Saṃyama,संयम,"restraint, control over senses"
Saṃvega,संवेग,excitement
Saṃśraya,संश्रय,"connection, association"
Saṃskāra,संस्कार,"accomplishment, embellishment, adornment, purification, cleansing"
Saṃstubh,संस्तुभ्,a shout of joy
Sakṣama,सक्षम,"able, endure"
Saṅketa,सङ्केत,"intimation, hint"
Saṅgrāma,सङ्ग्राम,"battle, war, fight, combat"
Sañcaya,सञ्चय,collection
Sañjaya,सञ्जय,"completely victorious, triumphant (in Ṛgveda)"
Sañjita,"सञ्जित a conqueror, winner",
Sañjiva,सञ्जीव,the act of revival
Sandāva,सन्दाव,flight
Sandeśa,सन्देश,"communication of intelligence, message, information"
Samanvaya,समन्वय,"connected sequence or consequence, conjunction"
Samavakāra,समवकार,a kind of higher Rūpaka or drama
Samādiṣṭa,समादिष्ट,"assigned, indicated, directed, commanded"
Samitha,समिथ,fire
Samīra,समीर,"air, breeze, wind"
Samīhana,समीहन,"zealous, eager"
Samukṣita,समुक्षित,sprinkled
Samutka,समुत्क,desirous
Samutkarṣa,समुत्कर्ष,self-elevation
Samudāgama,समुदागम,full or complete knowledge
Samupakrama,समुपक्रम,commencement
Sammegha,सम्मेघ,the cloudy season
Sarjura,सर्जुर,a day
Sahira,सहिर,a mountain
Sahiṣṇu,सहिष्णु,"patient, forbearing"
Sāgara,सागर,the ocean
Sāttvika,सात्त्विक,"spirited, vigorous, energetic"
Sānanda,सानन्द,"having joy or happiness, joyful, glad,delighted with"
Sāraṅga,सारङ्ग,having colour
Sārāla,साराल,the sesamum plant
Sārka,सार्क,"the sun, sunny"
Sārthaka,सार्थक,"having meaning, significant, important"
Sāhila,साहिल,"guide, leader"
Sikṣya,सिक्ष्य,"crystal, glass"
Siddhārtha,सिद्धार्थ,"the one who has attained his object/aim successfully, name of Gautama Buddha"
Siddhānta,सिद्धान्त,final end/aim
Sidhya,सिध्य,auspicious
Sitinaka,सितिनक,pulse
Sīraka,सीरक,a plough
Sudarṣana,सुदर्शन,"good-looking, beautiful, handsome, name of Śiva, name of the discus of Viṣṇu"
Sunandana,सुनन्दन,name of Kṛṣṇa
Sundara,सुन्दर,"beautiful, handsome, lovely"
Suvihita,सुविहित,well done or performed
Suṣānta,सुशान्त,very calm and placid (like water)
Suśruta,सुश्रुत,"very famous, very famous and celebrated medical practitioner, the father of surgery"
Sūrya,सूर्य,the sun
Saṃyuktā,संयुक्ता,"conjoined, together, a kind of metre"
Saṃrāddhi,संराद्धि,"accomplishment, success"
Saṃvidhā,संविधा,mode of life
Saṃsthā,संस्था,"to stand together, hold together"
Saṃskṛti,संस्कृति,"preparation, perfection"
Saṃhitā,संहिता,"conjunction, connection, union, the text of the Vedas"
Saṃkrānti,संक्रान्ति,"going from one place to the other, a traditional festival"
Saṃjñikā,संज्ञिका,"appellation, made known, connected"
Samadu,समदु,a daughter
Samaṣṭi,समष्टि,attainment
Samākhyā,समाख्या,confederation
Samānikā,समानिका,a kind of metre
Samāpatti,समापत्ति,"coming together, meeting, encountering"
Samīkṣā,समीक्षा,"to look at or inspect thoroughly, investigate closely"
Samīhā,समीहा,"wish, desire"
Samucitā,समुचिता,"delighted, liked"
Sammārṣṭi,सम्मार्ष्टि,"cleansing, purification"
Sarasvatī,सरस्वती,name of a river (celebrated in Ṛgveda and held to be a goddess)
Sari,सरि,a waterfall
Sarvikā,सर्विका,"all, every, whole, entire, universal"
Sarvatā,सर्वता,all-sided
Sarṣīkā,सर्षीका,a kind of metre
Sahā,सहा,"powerful, mighty"
Sahiṣṭhā,सहिष्ठा,"strongest, most mighty"
Sākūtā,साकूता,"intentional, having meaning"
Sāgarikā,सागरिका a woman born in the ocean,
Sādhikā,साधिका,"accomplishing, fulfilling, completing, perfecting"
Sādhanā,साधना,"leading straight to a goal, guiding well"
Sānikā,सानिका,a flute
Sāmūnā,सामूना,a black coloured deer
Sāmici,सामिचि,praise
Sāraṅgī,सारङ्गी,a kind of spotted doe or antelope
Sāvitrī,सावित्री,relating or belonging to the sun
Sāverī,सावेरी,a particular kind of Rāgiṇī
Siṃhikā,सिंहिका,daughter of Dakṣa
Siṃhī,सिंही,a lioness
Siddhi,सिद्धि,"accomplishment, performance, fulfilment, complete attainment (of any object), success"
Silācī,सिलाची,a particular medicinal plant
Sisṛkṣā,सिसृक्षा,wish or desire to create
Sītā,सीता,"the track or line of a ploughshare, personified and worshipped as a goddess; wife of Rāma and daughter of Janaka"
Simāntikā,सिमान्तिका,a kind of ruby
Sīmā,सीमा,boundary
Sudikṣā,सुदिक्षा,beautiful consecration; name of Lakṣmī
Sudh,सुधा,nectar of flowers
Subuddhi,सुबुद्धि,good understanding
Surabhi,सुरभि,"sweet smelling, fragrant"
Surandalā,सुरन्दला,name of a river
Suvarṇā,सुवर्णा,"of a good or beautiful colour, brilliant in hue, bright, golden, yellow"
Suślokā,सुश्लोका,"well sounding, pleasing"
Sūnṛtā,सूनृता,"pleasant and true (speech); gladness, joy"
Sṛiṣṭi,सृष्टि,creation
Smiti,स्मिति / Smitā,"smiling, laughter"
Smerā,स्मेरा,friendly
Śaṃsa,शंस,"recitation, invocation, praise"
Śaṃsatha,शंसथ,conversation
Śakra,शक्र,"strong, powerful, mighty (Indra)"
Śakvan,शक्वन्,"powerful, able, mighty"
Śagma,शग्म,"powerful, mighty"
Śakunta,शकुन्त,the blue jay
Śaṅkhaka,शङ्खक,the conch shell
Śaciṣṭha,शचिष्ठ,most powerful
Śama,शम,"tranquility, calmness"
Śamatha,शमथ,"quiet, tranquility"
Śamaha,शमह,"a quiet place, hermitage"
Śamiṣṭha,शमिष्ठ,"most active, busiest"
Śaṃkara,शङ्कर,"causing prosperity, auspiciousness"
Śambhu,शम्भु,existing for happiness
Śarva,शर्व,name of Śiva
Śaraṇa,शरण,"shelter, place of refuge"
Śarad,शरद्,autumn
Śaracchandra,शरच्चन्द्र,autumnal moon
Śarkura,शर्कुर,"young, tender"
Śardha,शर्ध,"defiant, bold"
Śardhya,शर्ध्य,"bold, strong"
Śalahaka,शलहक,the wind
Śalya,शल्य,"dart, spear"
Śalaṇga,शलङ्ग,"a king, sovereign"
Śaśāṇka,शशाङ्क,hare-marked i.e the moon
Śaṃtanu,शन्तनु,father of Bhīṣma
Śaraṅgarava,शारङ्गरव,disciple of Kaṇva muni
Śārdula,शार्दूल,"a lion, a tiger"
Śālita,शालित,"shining with, beautified"
Śikhara,शिखर,a mountain peak
Śithira,शिथिर,flexible
Śipiviṣṭa,शिपिविष्ट,pervaded by rays
Śipita,शिपित,superfluous
Śirīṣa,शिरीष,rain tree
Śilamba,शिलम्ब,a sage
Śukra,शुक्र,"bright, resplendent"
Śukṣi,शुक्षि,"air, wind"
Śuciya,शुचिय,"to become clear, pure"
Śuṭira,शुटीर,a hero
Śura,शूर,"lion, hero"
Śuṣṇa,शुष्ण,"the sun, fire"
Śekhara,शेखर,crown of the head
Śodhana,शोधन,"purifying, cleansing"
Śobhaka,शोभक,"brilliant, beautiful"
Śobhita,शोभित,"splendid, beautiful"
Śaunaka,शौनक,author of Ṛgvedic Prātiśākhya
Śyāma,श्याम,"dark coloured, name of Kṛṣṇa"
Śrāvaṇa,श्रावण,"relating to ear, name of a Muni"
Śraviṣṭha,श्रविष्ठ,most famous
Śreyas,श्रेयस्,"more splendid, beautiful, excellent"
Śaṃsitā,शंसिता,"praised, celebrated"
Śasti,शस्ति,"praise, hymn"
Śakti,शक्ति,"power, ability, strength, might"
Śakyā,शक्या,"possible, practicable, capable"
Śakvarī,शक्वरी,name of a particular metre
Śakuntalā,शकुन्तला,"name of the daughter of Viśvāmitra and Menakā, said to be left by Menakā at birth and was fed by birds until Kaṇva muni found her"
Śaṅkhinī,शङ्खिनी,the mother of pearl
Śacī,शचि/Śacikā,wife of Indra
Śadhī,शधी,a kind of a plant
Śatvarī,शत्वरी,night
Śadvalā,शद्वला,name of a river
Śamanī,शमनी,"calming, night"
Śamitā,शमिता,rice powder
Śaṃkarī,शङ्करी,wife of Śiva
Śarvaṇī,शर्वणी,wife of Śiva
Śaraṇyā,शरण्या,offering shelter
Śaracchandrikā,शरच्चन्द्रिका,autumnal moonshine
Śaratī,शरती,lovely like autumn
Śarkarī,शर्करी,a river
Śarmiṣṭhā,शर्मिष्ठा,"most fortunate, one of the wives of Yayāti"
Śarvarī,शर्वरी,starlit night
Śarṣikā,शर्षिका,a kind of metre
Śalalī,शलली,the quill of a porcupine used to apply collyrium
Śalākā,शलाका,any small stake or stick
Śavāsī,शवासी,"the strong one, name of the mother of Indra"
Śaśī,शशी,a digit of the moon
Śānti,शान्ति,"tranquility, peace, quiet"
Śālmalī,शाल्मली,silk cotton tree
Śāvirī,शाविरी,a particular Rāga
Śāśvatī,शाश्वती,eternal
Śikhā,शिखा,"a tuft or loft of hair, crest of a peacock"
Śilpikā,शिल्पिका,a kind of drama
Śiśayā,शिशया,liberal
Śītikā,शीतिका,cool
Śīlā,शीला,"habit, custom, practice, conduct"
Śukti,शुक्ति,"shining bright, pearl oyster"
Śuklā,शुक्ला,bright light
Śucikā,शुचिका,"name of Apsaras, pure, sacred, virtuous"
Śucitā,शुचिता,"pure, clean"
Śutudrī,शुतुद्री,the Sutlej river (name in Ṛigveda)
Śuśrūṣā,शुश्रूषा,"desire to hear, reverence, obedience"
Śuṣmā,शुष्मा,"fragrant, strong, bold"
Śephālī,शेफाली,fragrant
Śemuṣī,शेमुषी,"understanding, intellect, wisdom"
Śobhā,शोभा,"splendour, brilliance"
Śolī,शोली,yellow turmeric
Śraddhā,श्रद्धा,faith
Śruti,श्रुति,"hearing, listening, Vedas"
Śruṣṭi,श्रुष्टि,obedience
Śliṣā,श्लिषा,embracing
Śliṣṭi,श्लिष्टि,"adherence, connection"
Makaranda,मकरन्द,"the juice of flowers, honey"
Magha,मघ,"a gift, reward, wealth, power, a kind of flower"
Maṅkaṇaka,मङ्कणक,name of Ṛṣi
Majjara,मज्जर,a kind of grass
Mañjara,मञ्जर,a cluster of blossoms
Mañjiman,मञ्जिमन्,"beauty, elegance"
Mañjira,मञ्जिर,anklet
Mañjunātha,मञ्जुनाथ,"beautiful, name of Śiva"
Maṇi,मणि,"a jewel, gem, pearl"
Mada,मद,"hilarity, rapture, excitement, inspiration"
Madana,मदन,"passion, love or the god of love"
Madhu,मधु,"sweet, delicious, pleasant, charming, delightful"
Madhupa,मधुप,drinking sweetness
Madhuvāc,मधुवाच्,"sweet voiced, the indian cuckoo"
Madhusūdana,मधुसूदन,name of the destroyer of the demon Madhu i.e name of Kṛṣṇa
Madhuka,मधुक,melodious
Madhura,मधुर,"sweet, pleasant, charming, delightful"
Madhuraka,मधुरक,"sweet, pleasant, agreeable"
Madhva,मध्व,name of the founder of a sect of Vaiṣṇavas in South India
Manana,मनन,"thoughtful, careful, thinking, reflection, meditation, thought, intelligence, understanding"
Manasketa,मनस्केत,"mental perception or conception, idea, notion"
Manita,मनित,"known, understood"
Mandāra,मन्दार,the coral tree
Manmatha,मन्मथ,"love or the god of love, amorous passion or desire"
Manmana,मन्मन,confidential whisper
Mayūkha,मयूख,"a ray of light, flame, brightness, lustre"
Mayūra,मयूर /Mayūraka,a peacock
Maranda,मरन्द,the juice or nectar of flowers
Marāla,मराल,"soft, mild, tender"
Marici,मरीचि,"a ray of light, flame, brightness, lustre, a ray of light (of the sun or moon)"
Maruta,मरुत,wind
Maruvaka,मरुवक,"a kind of flower, a tiger"
Mallāra,मल्लार,name of a Rāga in music
Masāra,मसार,a sapphire or an emerald
Mahanta,महन्त,superior
Maheśa,महेश,"the great lord, name of Śiva"
Maheśvara,महेश्वर,"a great lord, sovereign, chief of gods i.e Indra"
Maheśvāsa,महेश्वास,a great archer
Mahira,महिर / Mihira,the sun
Mānita,मानित,"honoured, respected"
Mānava,मानव,descended from Manu
Milinda,मिलिन्द,the honey bee
Mihīra,मिहीर,the sun
Mihiṛaṇa,मिहिरण,name of Śiva
Mira,मीर,the ocean
Mukunda,मुकुन्द,name of Viṣṇu (sometimes transferred to Śiva)
Mukula,मुकुल,a bud
Mukta,मुक्त,"liberated, emancipated"
Mumucāna,मुमुचान,a cloud
Muṇḍira,मुण्डिर,the sun
Mudira,मुदिर,a cloud
Muralīdhara,मुरलीधर,"flute bearer, name of Kṛṣṇa, grandson of Kālidāsa"
Murdhaka,मुर्धक,a Kṣatriya
Mṛtamada,मृतमद,blue vitriol
Mṛdula,मृदुल,"soft, tender"
Mṛṣālaka,मृशालक,the mango tree
Mekhala,मेखल,a girdle
Maitreya,मैत्रेय,"friendly, benevolent"
Moda,मोद,"joy, delight, gladness, pleasure"
Makarikā,मकरिका,a particular head dress
Makarandikā,मकरन्दिका,name of a particular metre
Maghā,मघा,"name of a Nakṣatra (regarded as the wife of moon), name of the wife of Śiva"
Maṅgalā,मङ्गला,"auspicious, bliss"
Maṅgalacandī,मङ्गलचण्डी /Maṅgalacandikā,name of Durgā
Macacarcikā,मचचर्चिका,excellence
Mañjarī,मञ्जरी,cluster of flowers
Mañjarikā,मञ्जरिका,"cluster of flowers, name of a princess"
Mañjiṣṭhā,मञ्जिष्ठा,very bright
Mañju,मञ्जु,"beautiful, loving, charming, pleasant, sweet"
Mañjūṣā,मञ्जूषा,"a box, chest, case, basket"
Maṭatī,माटती,hail
Maṇikarṇikā,मणिकर्णिका,"an ear-ornament consisting of pearls or jewels, name of a sacred pool in Benares"
Mattalikā,मत्तलिका,anything excellent of its kind
Matsyodarī,मत्स्योदरी,sprung from the fish name of Satyavatī
Madantikā,मदन्तिका,a particular Śruti in music
Madayantikā,मदयन्तिका,arabian jasmine
Madhunī,मधुनी,a species of shrub
Madhurā,मधुरा,"melodious,mellifluous"
Madhulikā,मधुलिका,black mustard
Madhurāhuti,मधुराहुति,a sacrificial offering consisting of honey and other sweet things
Mati,मति,"devotion, prayer, worship, hymn, sacred utterance (in Ṛgveda) ; thought, design, intention, resolution, determination"
Manastuṣṭi,मनस्तुति,"satisfaction of mind, heart’s content"
Manastokā,मनस्तोका,name of Durgā
Manasā,मनसा,name of a particular goddess relating to Prakṛti
Manā,मना,"devotion, attachment, zeal, eagerness"
Manīṣā,मनीषा,"thought, reflection, consideration, wisdom, intelligence, conception, idea"
Manīṣkā,"मनीष्का wisdom, intelligence",
Mantrāvalī,मन्त्रावली,a series of sacred texts
Mantrikā,मन्त्रिका,name of an Upaniṣad
Mandālinī,मन्दालिनी,"flowing slowly, name of Gaṅgā"
Maricikā,मरीचिका,a mirage
Maryā,मर्या,something clear or shining
Marṣikā,मर्षिका,a kind of metre
Mahimā,महिमा,greatness
Mahiṣṭhā,महिष्ठा,"greatest, largest"
Mahiyā,महिया,"joyousness, happiness"
Mahikā,महिका/Mihikā,"mist, frost"
Maghvanī,मघ्वनी,ruled by Indra
Mādhvī,माधवी,sweet
Mādhurī,माधुरी,"sweetness, loveliness"
Mānyā,मान्या,"worthy of honour, respectable"
Mālatī,मालती,"jasmine, white flowers which bloom towards the evening"
